10,3718,,,PST,VDC,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,deg C
10,3718,2007,1,1820,12.14,6.483,248.1,2.859,7.39,.363,6.522,7.76,.415,5.421,243.1,4.399,6.316,.321,5.498,6.193,.355,-.854
10,3718,2007,1,1830,12.13,6.266,249.3,5.919,6.775,.23,6.312,6.854,.267,5.119,246.7,4.119,5.704,.267,5.206,5.908,.297,-.293
10,3718,2007,1,1840,12.13,5.653,258.4,3.103,6.163,.259,5.66,6.12,.274,4.729,262,2.983,5.398,.267,4.791,5.627,.293,-.347
10,3718,2007,1,1850,12.13,4.831,246.5,6.048,5.398,.339,4.854,5.453,.358,3.622,254.5,6.243,4.633,.632,3.631,4.778,.684,-.478
10,3718,2007,1,1900,12.11,3.591,231,7.53,4.633,.598,3.558,4.664,.608,1.934,215.3,39.43,3.868,1.161,1.771,3.711,1.286,-.697
10,3718,2007,1,1910,12.09,1.634,252.4,52.47,3.715,.89,1.462,3.655,1.016,1.139,342.8,53.2,2.95,.87,.961,2.818,.904,-.972
10,3718,2007,1,1920,12.09,1.124,217.5,16.84,2.032,.454,.942,1.958,.544,1.999,96.1,24.25,2.644,.459,1.874,2.531,.52,-1.33
10,3718,2007,1,1930,12.09,1.922,204,11.56,2.491,.238,1.891,2.411,.236,2.056,154.6,14.15,2.95,.473,2.114,3.415,.76,-1.219
10,3718,2007,1,1940,12.08,.872,210.5,27.1,1.726,.451,.568,1.559,.42,1.641,154.1,31.54,2.644,.423,1.514,2.674,.569,-.694
10,3718,2007,1,1950,12.08,3.015,54.99,27.55,4.48,.918,2.989,4.424,.99,3.989,39.86,9.55,5.398,.791,3.989,5.46,.835,-1.532
10,3718,2007,1,2000,12.1,2.821,67.97,3.622,3.715,.447,2.761,3.606,.455,3.542,53.3,2.288,4.174,.353,3.495,4.118,.355,-1.663
10,3718,2007,1,2010,12.09,2.399,77.1,43.5,3.715,.742,2.364,3.68,.817,2.947,52.5,23.51,3.868,.452,2.904,4.005,.525,-1.538
10,3718,2007,1,2020,12.09,2.867,34.94,8.71,3.868,.647,2.851,3.96,.693,3.334,26.18,5,4.48,.6,3.341,4.536,.639,-1.688
10,3718,2007,1,2030,12.09,3.051,28.44,9.96,3.562,.319,3.052,3.68,.337,2.972,18.77,5.647,3.715,.46,2.97,3.744,.498,-1.765
10,3718,2007,1,2040,12.09,2.643,63.77,8.15,3.103,.209,2.58,3.048,.203,2.304,57.51,8.49,2.797,.254,2.221,2.783,.269,-1.77
10,3718,2007,1,2050,12.09,3.209,42.99,6.18,4.633,.676,3.201,4.635,.704,3.153,37.88,5.338,4.48,.649,3.155,4.568,.69,-1.687
10,3718,2007,1,2100,12.09,3.604,45.45,9.22,4.633,.516,3.587,4.632,.539,3.742,32.25,5.062,4.48,.455,3.749,4.573,.496,-1.788
10,3718,2007,1,2110,12.07,2.096,90.3,44.21,3.409,.839,1.938,3.378,.995,2.041,61.94,28.09,3.256,.728,1.841,3.263,.92,-1.621
10,3718,2007,1,2120,12.07,.515,164.9,1.046,1.879,.314,.419,1.879,.286,.728,44.86,75.5,2.032,.518,.498,1.888,.401,-1.463
10,3718,2007,1,2130,12.06,.419,181,61.98,.808,.135,.349,.349,0,.862,293.4,8.17,2.032,.568,.673,1.994,.551,-2.004
10,3718,2007,1,2140,12.06,.901,141.2,24.89,1.573,.282,.514,1.518,.393,1.866,229.3,7.81,2.644,.508,1.716,2.552,.663,-1.978
10,3718,2007,1,2150,12.05,1.409,224.5,56.8,2.185,.49,1.201,2.151,.69,1.522,209.9,7.47,2.644,.666,1.188,2.534,.89,-1.595
10,3718,2007,1,2200,12.06,1.553,325.2,36.22,2.338,.637,1.318,2.316,.769,1.069,259.3,40.23,3.103,.563,.684,2.939,.639,-1.575
10,3718,2007,1,2210,12.05,1.076,319.7,35.1,2.644,.783,.93,2.719,.833,1.717,300.4,7.76,2.95,.805,1.622,3.06,.868,-1.546
10,3718,2007,1,2220,12.05,1.885,298.6,11.51,2.491,.383,1.804,2.489,.537,2.352,302,5.176,2.95,.302,2.321,3.061,.323,-1.854
10,3718,2007,1,2230,12.06,2.417,286.7,10.08,3.256,.327,2.419,3.241,.341,2.545,271.1,14.06,3.715,.429,2.548,3.621,.451,-1.918
10,3718,2007,1,2240,12.06,2.264,257,7.45,3.103,.343,2.254,3.062,.345,2.161,241.9,9.75,3.103,.342,2.126,3.136,.35,-1.694
10,3718,2007,1,2250,12.06,2.409,252.2,15.22,3.103,.342,2.42,3.128,.344,2.499,242.5,16.32,3.409,.397,2.488,3.479,.432,-1.256
10,3718,2007,1,2300,12.07,3.659,272.8,5.449,4.633,.49,3.688,4.549,.491,3.5,268.7,5.771,4.021,.279,3.565,4.084,.3,-1.392
10,3718,2007,1,2310,12.08,3.846,256.1,6.715,4.327,.341,3.874,4.31,.358,3.794,254.3,5.61,4.327,.223,3.844,4.279,.233,-1.347
10,3718,2007,1,2320,12.07,3.478,248.5,7.83,4.327,.444,3.495,4.46,.457,3.01,253.1,6.221,3.715,.342,3.035,3.842,.367,-1.086
10,3718,2007,1,2330,12.07,2.824,211.8,7.82,3.256,.192,2.802,3.414,.196,2.88,217.5,18.73,3.562,.318,2.829,3.417,.273,-.73
10,3718,2007,1,2340,12.06,2.043,184.2,9.81,2.95,.384,2.013,2.932,.389,3.373,186.8,6.099,4.327,.473,3.273,4.366,.476,-.169
10,3718,2007,1,2350,12.06,1.401,180.2,16.59,2.644,.677,1.193,2.954,.863,3.31,184.5,5.285,3.868,.319,3.229,3.845,.329,1.205
10,3718,2007,1,2400,12.05,2.177,227.8,52.4,4.48,1.267,2.027,4.46,1.467,1.971,296.6,67.73,4.174,.883,1.799,4.172,1.034,.57
10,3718,2007,2,10,11.82,.942,247.3,7.97,2.491,.603,.806,2.313,.664,1.536,318.8,27.56,2.644,.567,1.078,2.63,.787,.072
10,3718,2007,2,20,11.57,2.473,329.3,15.15,3.562,.646,2.376,3.499,.666,3.391,337.2,5.303,4.021,.273,3.058,3.708,.272,-1.351
10,3718,2007,2,30,11.81,1.225,329,21.06,2.797,.844,1.133,2.688,.837,1.152,348.8,23.9,2.644,.772,.924,2.516,.796,-2.035
10,3718,2007,2,40,11.81,1.607,261.3,23.54,2.338,.611,1.611,2.359,.685,2.407,247.7,13.68,3.256,.565,2.349,3.178,.705,-2.191
10,3718,2007,2,50,11.8,2.068,237.6,5.502,2.797,.394,2.058,2.788,.461,3.298,229.7,8.12,3.715,.206,3.271,3.823,.208,-1.729
10,3718,2007,2,100,11.8,1.667,228.8,7.24,2.338,.275,1.614,2.408,.42,2.76,207.3,7.83,3.256,.223,2.686,3.294,.227,-.488
10,3718,2007,2,110,11.89,3.032,240.2,2.945,3.715,.376,3.04,3.688,.38,2.686,222.8,6.095,3.103,.213,2.691,3.085,.219,.238
10,3718,2007,2,120,12.03,2.932,227.7,10.27,3.562,.4,2.917,3.685,.407,2.418,213.4,13.15,3.256,.444,2.364,3.238,.48,1.165
10,3718,2007,2,130,12.03,3.186,225.8,8.88,4.021,.44,3.164,3.981,.455,2.473,222.1,14.54,3.256,.396,2.461,3.265,.394,1.923
10,3718,2007,2,140,12.04,3.572,254.1,15.33,6.775,.976,3.605,6.614,1.051,2.677,259.6,20.84,5.398,1.012,2.7,6.238,1.117,3.731
10,3718,2007,2,150,12.04,3.718,306.5,33.74,5.245,.692,3.707,5.741,.708,3.714,318.8,37.39,5.398,1.058,3.449,5.306,1.198,3.372
10,3718,2007,2,200,12.05,5.395,331.2,4.083,6.928,.9,5.257,6.91,.863,5.416,333.6,4.404,6.163,.498,4.759,6.115,.629,-.51
10,3718,2007,2,210,12.05,3.821,295.9,19,5.857,.792,3.76,5.602,.696,3.946,285.6,28.64,5.092,.604,3.768,4.845,.465,-1.698
10,3718,2007,2,220,12.05,3.257,258.9,18.93,4.021,.388,3.257,4.06,.375,4.11,233.2,16.29,5.245,.387,4.115,5.156,.375,-1.396
10,3718,2007,2,230,12.05,4.222,238.8,6.569,5.245,.477,4.215,5.265,.45,4.727,212.7,6.716,6.01,.572,4.657,5.927,.579,-.981
10,3718,2007,2,240,12.05,4.039,245,3.165,5.092,.39,4.05,5.177,.397,3.507,225.5,9.49,4.633,.451,3.457,4.683,.442,-.447
10,3718,2007,2,250,12.05,4.244,247.2,6.478,5.245,.505,4.244,5.287,.528,3.878,219.6,11.97,4.48,.262,3.858,4.701,.327,.362
10,3718,2007,2,300,12.05,4.558,252.3,6.745,5.398,.517,4.558,5.616,.527,3.904,226.2,7.05,5.092,.578,3.862,4.972,.607,1.086
10,3718,2007,2,310,12.04,3.123,269.7,14.71,4.174,.584,3.13,4.675,.598,2.411,272.4,16.99,3.409,.541,2.399,3.597,.601,.895
10,3718,2007,2,320,12.03,2.819,235,9.44,3.868,.616,2.824,3.917,.62,1.953,232,20.92,2.797,.538,1.771,2.708,.755,.145
10,3718,2007,2,330,12.03,3.473,227.7,7.52,4.48,.733,3.472,4.508,.725,2.126,191,5.566,3.256,.697,1.905,3.128,.876,-.107
10,3718,2007,2,340,12.03,3.678,246.9,10.59,5.245,.912,3.722,5.152,.888,2.162,227.3,26.17,3.103,.555,2.052,3.249,.751,.196
10,3718,2007,2,350,12.03,4.02,236.8,9.89,5.092,.821,4.005,5.226,.83,2,235.3,16.66,2.95,.538,1.883,2.901,.684,.913
10,3718,2007,2,400,12.01,1.862,251.6,22.87,3.103,.754,1.656,3.046,.979,1.141,296.3,57.59,2.185,.479,.645,2.225,.544,1.693
