10,3707,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3707,2002,80,2210,-0.8,12.5,0.35,0,0.39,0.18,0.5,0.31,0.35,0,213,1,240,0,-2,0.1
10,3707,2002,80,2220,-0.8,12.5,0.35,0,0.36,0.07,0.52,0.32,0.35,0,216,7,242,3,-2.2,0.1
10,3707,2002,80,2230,-1.2,12.5,0.35,0,0.56,0.35,0.71,0.42,0.35,0,260,7,262,9,-2.5,0.1
10,3707,2002,80,2240,-1.2,12.5,0.35,0,0.35,0,0.88,0.37,0.35,0,291,9,266,2,-2.7,0.1
10,3707,2002,80,2250,-1.6,12.5,0.35,0,0.35,0,0.35,0.05,0.35,0,348,29,287,18,-2.5,0.1
10,3707,2002,80,2300,-1.6,12.5,0.35,0,0.35,0,0.35,0,0.35,0,30,10,267,13,-2.2,0.1
10,3707,2002,80,2310,-1.6,12.5,0.35,0,0.35,0,0.35,0,0.35,0,24,12,263,15,-2.2,0.1
10,3707,2002,80,2320,-1.6,12.5,0.35,0,0.61,0.37,0.98,0.38,0.86,0.38,316,35,250,2,-2.7,0.2
10,3707,2002,80,2330,-2.1,12.5,0.43,0.24,0.7,0.5,0.98,0.62,0.8,0.62,272,9,250,0,-2.9,0.1
10,3707,2002,80,2340,-2.1,12.5,0.61,0.4,1.54,0.38,1.98,0.37,1.83,0.37,248,5,239,3,-3.2,0.1
