10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2002,33,230,0.1,12.9,0.35,0,0.35,0,0.69,0.38,0.52,0.32,29,9,104,15,1.7,0.1
10,3702,2002,33,240,0.1,12.9,0.35,0,0.35,0,0.94,0.34,0.77,0.38,6,1,54,22,1.5,0.2
10,3702,2002,33,250,0.1,12.9,0.35,0,0.35,0,1.09,0.27,0.93,0.37,5,1,27,19,1,0.1
10,3702,2002,33,300,0.1,12.9,0.65,0.4,0.65,0.38,1.5,0.38,0.74,0.42,333,17,335,5,1,0.1
10,3702,2002,33,310,-0.4,12.9,0.56,0.38,0.93,0.37,1.72,0.32,1.33,0.45,325,5,321,3,1.2,0
10,3702,2002,33,320,-0.4,12.9,0.35,0,0.41,0.21,0.86,0.54,0.84,0.54,318,0,315,0,1.2,0
10,3702,2002,33,330,-0.4,12.9,0.42,0.22,0.36,0.1,0.52,0.4,0.51,0.38,225,64,321,79,1,0.1
10,3702,2002,33,340,-0.4,12.7,0.36,0.07,0.35,0,0.98,0.37,0.89,0.37,156,0,178,0,0.5,0.2
10,3702,2002,33,350,-0.4,12.7,0.35,0.03,0.35,0,0.56,0.35,0.45,0.26,156,0,178,0,0.5,0.1
10,3702,2002,33,400,-0.4,12.7,0.35,0,0.35,0,0.35,0,0.35,0,155,0,178,0,0.8,0.1
10,3702,2002,33,410,-0.4,12.7,0.35,0,0.35,0,0.35,0,0.35,0,155,0,178,0,0.8,0.1
10,3702,2002,33,420,-0.4,12.8,0.35,0,0.35,0,0.43,0.24,0.39,0.18,155,0,178,0,0.8,0
10,3702,2002,33,430,-0.4,12.8,0.35,0.05,0.35,0,1.06,0.27,0.86,0.4,155,0,245,69,0.8,0
10,3702,2002,33,440,-0.4,12.8,0.35,0,0.35,0,0.76,0.45,0.35,0.05,155,0,316,0,0.8,0.1
10,3702,2002,33,450,-0.8,12.8,0.35,0,0.35,0,0.68,0.42,0.49,0.29,156,0,316,0,0.8,0
10,3702,2002,33,500,-0.8,12.8,0.35,0,0.35,0,0.35,0,0.35,0,156,0,316,0,0.8,0
10,3702,2002,33,510,-0.8,12.8,0.35,0,0.35,0,0.35,0,0.35,0,156,0,316,0,0.5,0.1
10,3702,2002,33,520,-0.8,12.8,0.35,0,0.35,0,0.35,0,0.35,0,156,0,316,0,0.5,0
10,3702,2002,33,530,-0.8,12.8,0.35,0,0.35,0,1.2,0.38,1.12,0.38,156,0,186,35,0.3,0.1
10,3702,2002,33,540,-0.8,12.8,0.37,0.12,0.35,0,0.69,0.42,0.56,0.35,135,20,176,0,0.3,0.1
10,3702,2002,33,550,-0.8,12.8,0.38,0.14,0.35,0,0.78,0.4,0.52,0.32,111,0,176,0,0.3,0
10,3702,2002,33,600,-0.8,12.8,0.36,0.07,0.35,0,0.36,0.06,0.35,0,96,17,176,0,0.1,0.1
